G0,mozzart,ISRAEL,MACEDONIA,1.62,2.15
*****************************************
G1,mozzart,SLIGO,FALKIRK,2.03,1.7
*****************************************
G2,mozzart,GREMIO,SPORT RECIFE,1.69,2.05
*****************************************
G3,mozzart,SENEGAL,BURKINA FASO,1.41,2.7
*****************************************
G4,mozzart,MONTREAL,CHICAGO,2.41,1.5
*****************************************
G5,mozzart,DALLAS,NEW YORK,2.19,1.6
*****************************************
G6,mozzart,LOS ANGELES,COLORADO,2.11,1.65
*****************************************
G7,mozzart,GIFU,EHIME,1.8,1.9
*****************************************
G8,mozzart,CHROBRY GLOGOW,LEGNICA,1.69,2.05
*****************************************
G9,mozzart,FREMAD AMAGER,ESBJERG,2.11,1.65
*****************************************
G10,mozzart,NYKOBING,BRABRAND,2.19,1.6
*****************************************
G11,mozzart,THISTED,HB KOGE,1.9,1.8
*****************************************
G12,mozzart,VOLENDAM,CAMBUUR,2.19,1.6
*****************************************
G13,mozzart,STROMMEN,ELVERUM,2.19,1.6
*****************************************
G14,mozzart,FLORO,TROMSDALEN,2.29,1.55
*****************************************
G15,mozzart,JERV,START,2.19,1.6
*****************************************
G16,mozzart,SYRIANSKA,TRELLEBORG,2.41,1.5
*****************************************
G17,mozzart,PORTSMOUTH,ROTHERHAM,1.9,1.8
*****************************************
G18,mozzart,TNS,LIVINGSTON,2.11,1.65
*****************************************
G19,mozzart,TUBIZE,ST.GILLOISE,2.19,1.6
*****************************************
G20,mozzart,HONKA,KPV,2.03,1.7
*****************************************
G21,mozzart,JARO,GRIFK,2.41,1.5
*****************************************
G22,mozzart,OPS,GNISTAN,2.11,1.65
*****************************************
G23,mozzart,OLIVEIRENSE,SP.COVILHA,1.76,1.95
*****************************************
G24,mozzart,EMPOLI,BARI,1.6,2.2
*****************************************
G25,mozzart,RANHEIM,KONGSVINGER,2.41,1.5
*****************************************
G26,mozzart,FREDRIKSTAD,ASANE,2.03,1.7
*****************************************
G27,mozzart,ULL KISA,MJONDALEN,2.41,1.5
*****************************************
G28,mozzart,GUIMARAES II,REAL QUELUZ,1.85,1.85
*****************************************
G29,mozzart,BOAVISTA,BRAGA,1.55,2.3
*****************************************
G30,mozzart,ASCOLI,PRO VERCELLI,1.55,2.3
*****************************************
G31,mozzart,CESENA,VENEZIA,1.6,2.2
*****************************************
G32,mozzart,CREMONESE,AVELLINO,1.69,2.05
*****************************************
